ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ck4gtx4cw3fr10847bwqx4mpf,ck4gtrw8agbkd0enra71var2i,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2F94b0fde8-1e00-d473-ad6c-4d4073654477-Patch_20.jpg?Expires=1578605814399&KeyName=labelbox-assets-key-1&Signature=luodpJl0ecYoAR-WplWJokszzRA,"{""objects"":[],""classifications"":[{""featureId"":""ck4gtx3ji145y0ycntat43ld5"",""schemaId"":""ck4gtwrosrznw070606nvemai"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4gtx3k9145z0ycnvqb95rq5"",""schemaId"":""ck4gtwrmt3fpo0847gzqq4cm2"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Sundarban_Data,1.57701E+12,1.57701E+12,4.104,Patch_20.jpg,,,,,Sundarban_1,[],https://editor.labelbox.com?project=ck4gtqy7prxyg08705viaz5hp&label=ck4gtx4cw3fr10847bwqx4mpf
ck4gtx6l03frj0847xvuu00hz,ck4gtrw9agbnx0enrhpu5bh12,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2F8db7b6d8-7c3b-9e29-cfca-0a034e4f13dc-Patch_52.jpg?Expires=1578605814399&KeyName=labelbox-assets-key-1&Signature=5X5MtdopPcVMXoouG4BIdOVKIvY,"{""objects"":[],""classifications"":[{""featureId"":""ck4gtx5xm05n20zc1j19rkoly"",""schemaId"":""ck4gtwrosrznw070606nvemai"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4gtx5yr05n30zc1syxr3xfs"",""schemaId"":""ck4gtwrmt3fpo0847gzqq4cm2"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Sundarban_Data,1.57701E+12,1.57701E+12,0.814,Patch_52.jpg,,,,,Sundarban_1,[],https://editor.labelbox.com?project=ck4gtqy7prxyg08705viaz5hp&label=ck4gtx6l03frj0847xvuu00hz
ck4gtxbm9vesa0714qqjiewdi,ck4gtrw9egbrh0enrhd13g8hr,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2Fb3df02ad-4fc6-b239-742a-bb75081cee74-Patch_84.jpg?Expires=1578605814399&KeyName=labelbox-assets-key-1&Signature=IBF1UIFiHfhPCrIqcBc4OWlID3c,"{""objects"":[],""classifications"":[{""featureId"":""ck4gtxazv14610ycnqpvrz7e9"",""schemaId"":""ck4gtwrosrznw070606nvemai"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4gtxb0k14620ycn9usrpz7x"",""schemaId"":""ck4gtwrmt3fpp0847d7qc8kjg"",""title"":""Water"",""value"":""water""}}]}",mit41196@gmail.com,Sundarban_Data,1.57701E+12,1.57701E+12,4.272,Patch_84.jpg,,,,,Sundarban_1,[],https://editor.labelbox.com?project=ck4gtqy7prxyg08705viaz5hp&label=ck4gtxbm9vesa0714qqjiewdi
ck4gtxdxsr90b0921cexs6a1k,ck4gtrw9igbv10enr2laq6tcd,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2F31c3ea11-4c68-aadf-1be2-dcc983ea2b16-Patch_116.jpg?Expires=1578605814399&KeyName=labelbox-assets-key-1&Signature=39rqddQ4XdSFQchKSNq3Fl9_vyg,"{""objects"":[],""classifications"":[{""featureId"":""ck4gtxdbs0w620xc6maramfn2"",""schemaId"":""ck4gtwrosrznw070606nvemai"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4gtxdcj0w630xc6nprdvr8b"",""schemaId"":""ck4gtwrmt3fpo0847gzqq4cm2"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Sundarban_Data,1.57701E+12,1.57701E+12,1.022,Patch_116.jpg,,,,,Sundarban_1,[],https://editor.labelbox.com?project=ck4gtqy7prxyg08705viaz5hp&label=ck4gtxdxsr90b0921cexs6a1k
ck4gtxfuwr9150921scp6fh5e,ck4gtrw8bgbkp0enr3w8xd5lp,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2F0bcd0e44-f8c0-af9d-eed3-04d14d9d9fef-Patch_23.jpg?Expires=1578605814399&KeyName=labelbox-assets-key-1&Signature=Fbwbd_bosXERqUNgMlh4WisYSE4,"{""objects"":[],""classifications"":[{""featureId"":""ck4gtxf9h14630ycnbvmb887r"",""schemaId"":""ck4gtwrosrznw070606nvemai"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4gtxfa914640ycnp0x1oe36"",""schemaId"":""ck4gtwrmt3fpo0847gzqq4cm2"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Sundarban_Data,1.57701E+12,1.57701E+12,0.258,Patch_23.jpg,,,,,Sundarban_1,[],https://editor.labelbox.com?project=ck4gtqy7prxyg08705viaz5hp&label=ck4gtxfuwr9150921scp6fh5e
ck4gtxhncau1t0770eopcnk0y,ck4gtrw9bgbo90enr6i1t4yqg,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2Fb5bc5b9e-4cdb-2b5d-d139-e32a8191e1a8-Patch_55.jpg?Expires=1578605814399&KeyName=labelbox-assets-key-1&Signature=fnvjR2mozrrCkdA9_dfgeGEx92Y,"{""objects"":[],""classifications"":[{""featureId"":""ck4gtxgvu05n60zc1tw35t5h0"",""schemaId"":""ck4gtwrosrznw070606nvemai"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4gtxgwr05n70zc13hxo89et"",""schemaId"":""ck4gtwrmt3fpo0847gzqq4cm2"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Sundarban_Data,1.57701E+12,1.57701E+12,0.256,Patch_55.jpg,,,,,Sundarban_1,[],https://editor.labelbox.com?project=ck4gtqy7prxyg08705viaz5hp&label=ck4gtxhncau1t0770eopcnk0y
ck4gtxk6nblhn0822otc7mt3d,ck4gtrw9egbrt0enr7vqdcyar,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2F3432abb3-daf2-75b8-fb65-b32aee88fca0-Patch_87.jpg?Expires=1578605814399&KeyName=labelbox-assets-key-1&Signature=4QIJ84XVGyKqUtgWSQxJrFvZC-g,"{""objects"":[],""classifications"":[{""featureId"":""ck4gtxjju05n80zc184tezl9t"",""schemaId"":""ck4gtwrosrznw070606nvemai"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4gtxjkl05n90zc13xrsbpg6"",""schemaId"":""ck4gtwrmt3fpo0847gzqq4cm2"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Sundarban_Data,1.57701E+12,1.57701E+12,0.541,Patch_87.jpg,,,,,Sundarban_1,[],https://editor.labelbox.com?project=ck4gtqy7prxyg08705viaz5hp&label=ck4gtxk6nblhn0822otc7mt3d
ck4gtxmy3ryf808708bjq7hjd,ck4gtrw9jgbvd0enr9qkmc7a2,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2F97fd71c0-e54d-c368-5adb-93cbf62b2423-Patch_119.jpg?Expires=1578605814399&KeyName=labelbox-assets-key-1&Signature=DQRGzxf8WG-gFy5rAN-NaWvAVKQ,"{""objects"":[],""classifications"":[{""featureId"":""ck4gtxl8a05na0zc1vnxpxzrc"",""schemaId"":""ck4gtwrosrznw070606nvemai"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4gtxm8l0w660xc63vfl7pu5"",""schemaId"":""ck4gtwrmt3fpp0847d7qc8kjg"",""title"":""Water"",""value"":""water""}}]}",mit41196@gmail.com,Sundarban_Data,1.57701E+12,1.57701E+12,1.463,Patch_119.jpg,,,,,Sundarban_1,[],https://editor.labelbox.com?project=ck4gtqy7prxyg08705viaz5hp&label=ck4gtxmy3ryf808708bjq7hjd
ck4gtxqsqvetp0714ehxufaz2,ck4gtrw8bgbl10enr9siicpa9,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2Fc9f7cfcd-d567-00b4-d2ea-206f39319cf5-Patch_26.jpg?Expires=1578605814399&KeyName=labelbox-assets-key-1&Signature=OdgQS7M8zOl4myKDnhdQyLqnTU8,"{""objects"":[],""classifications"":[{""featureId"":""ck4gtxq300w680xc69d1kmu22"",""schemaId"":""ck4gtwrosrznw070606nvemai"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4gtxq3w0w690xc6reg2wnq4"",""schemaId"":""ck4gtwrmt3fpp0847d7qc8kjg"",""title"":""Water"",""value"":""water""}}]}",mit41196@gmail.com,Sundarban_Data,1.57701E+12,1.57701E+12,2.938,Patch_26.jpg,,,,,Sundarban_1,[],https://editor.labelbox.com?project=ck4gtqy7prxyg08705viaz5hp&label=ck4gtxqsqvetp0714ehxufaz2
ck4gtxtonveu60714y9x7idfn,ck4gtrw9bgbol0enratyvfgln,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2Faecde094-2cc9-d973-906d-d382ba670bd8-Patch_58.jpg?Expires=1578605814399&KeyName=labelbox-assets-key-1&Signature=cKkhCAKjjkUoBFi0ZRwAh4CQT_c,"{""objects"":[],""classifications"":[{""featureId"":""ck4gtxsuc05ng0zc1jn9locpw"",""schemaId"":""ck4gtwrosrznw070606nvemai"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4gtxsve05nh0zc1xhk9t53c"",""schemaId"":""ck4gtwrmt3fpo0847gzqq4cm2"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Sundarban_Data,1.57701E+12,1.57701E+12,1.509,Patch_58.jpg,,,,,Sundarban_1,[],https://editor.labelbox.com?project=ck4gtqy7prxyg08705viaz5hp&label=ck4gtxtonveu60714y9x7idfn
